timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520507510159,4796,HTTP Request,200,,Thread Group 1-29,text,true,,161,118,100,100,4796,0,1
1520507496445,22937,HTTP Request,200,,Thread Group 1-17,text,true,,161,118,100,100,22861,0,4516
1520507482002,37648,HTTP Request,200,,Thread Group 1-97,text,true,,161,118,100,100,37645,0,1511
1520507510168,4790,HTTP Request,200,,Thread Group 1-52,text,true,,161,118,100,100,4790,0,1
1520507504582,15310,HTTP Request,200,,Thread Group 1-32,text,true,,161,118,100,100,15232,0,7736
1520507510183,4779,HTTP Request,200,,Thread Group 1-56,text,true,,161,118,100,100,4772,0,18
1520507482794,37456,HTTP Request,200,,Thread Group 1-95,text,true,,161,118,100,100,34620,0,1738
1520507510149,4814,HTTP Request,200,,Thread Group 1-43,text,true,,161,118,100,100,4814,0,14
1520507500960,18071,HTTP Request,200,,Thread Group 1-44,text,true,,161,118,100,100,18071,0,16455
1520507510186,4781,HTTP Request,200,,Thread Group 1-18,text,true,,161,118,100,100,4780,0,16
1520507504567,15871,HTTP Request,200,,Thread Group 1-92,text,true,,161,118,100,100,15871,0,575
1520507510228,4743,HTTP Request,200,,Thread Group 1-22,text,true,,161,118,100,100,4732,0,1
1520507482003,38438,HTTP Request,200,,Thread Group 1-34,text,true,,161,118,100,100,38438,0,1
